Tweet ID,Parent Text,Tweet Text,hate_speech,hate_speech_type,identity_targeted,counterspeech,counterspeech_type,dominant_counterspeech_type,augmented
1239062934799536128,@tanvinarula6 Yes. In Chini Communisto Ne Mera Bhari Nuksaan Karvaya Hai. I will continue to expose them.,@Sootradhar 👍👍,1,explicit,Asian,0.0,,,
1239063402569322496,@tanvinarula6 Each one of us should do it. What the Chinese have done cannot be pardoned. Please call it China Virus and tell the people that they spread it. Begin with your WA groups,@Sootradhar Yes. I always call it #WuhanCoronavius .,1,implicit,Asian,0.0,,,
1542205641787334656,Pro life more like I hate women,@Kwite :(  tf fuck i do,0,,,0.0,,,
1291456770293071872,men be like “ew i hate gay people so gross ew don’t look at me” then be like “mm yummy bi girls kiss each other so hot mm sexy”,"@MaggieLindemann men sucks

 https://t.co/pBstiyWVWk",0,,,0.0,,,
1466827328202412041,@__nesh____ Girl I stopped talking . Cause like wow,"@_SpoiledBritt_ Yeah, it was time to head out because wtf",0,,,0.0,,,
1354976772333383680,if you can’t handle my twitter and use it to insult me and spread my business you will be blocked until further notice thankkkk youuuuu I hate cunt ass bitches :),like how are you going to call me a whore?? THAT’S THE WHOLE POINT. I AM!!,0,,,0.0,,,
1281143438688256000,"Y'all woke people are so damn hypocritical. Louis Farrakhan is not someone I take advice from, you can’t say you care about women, Jews, and LGBTQ people if you praise anything he says. Fuck that man. He's also a rape apologist.",@WonderKing82 Typical disgruntled homo,1,explicit,LGBTQ+,0.0,,,
1318300748933980162,If you look both ways before you cross the street you’re a pussy,"@ModestPelican I look both ways while drinking water, never know who might try and steal my hydration",0,,,0.0,,,
1393736168928284672,If you’re offended that I said men are dumb as hell it’s because it probably applies to you. If you’re not then you get the concept of venting,@iamjessallen Ya gotta find the right man. But I do understand venting.,0,,,0.0,,,
1528968153056698368,"@Tobs5671 @jk_rowling @redbullskate @newsmax That’s not how ranking works . Different levels exist depending on invitationals and who gets to skate at each comp. 

You don’t know what you are talking about so I’m going to cut you off. 
Goodnight!",@McCannCaseTweet @jk_rowling @redbullskate @newsmax I meant globally,0,,,0.0,,,
1401948208188858384,"@WHATSTHEBEAT23 You’re exhausting, I *am* advocating for peace, hamas doesn’t stand for all of Palestine, it’s not the only political party. Go off if you want. Have fun or whatever 🤷🏻‍♀️😂",@mkultrafatass Palestinian Territories * There is no country under the name palestine. #educationiskey,1,explicit,Middle Eastern,0.0,,,
1243403051009892352,"@deng50548589 Give us to prepare ?
If China can tell the truth and shut the border earlier, the world won't be like that!",@Jack27688344 Didn't it spread in Italy in January?,0,,,0.0,,,
1552115641330515968,Pro life more like I hate women,"@Kwite That and ""You shouldn't be able to terminate your pregnancy,  unless it's a back alley way that will end up killing you in the worst way imaginable"" -Which... is pretty much the same thing",0,,,0.0,,,
1284609363563315201,@PintSzPorcupine @JoAnnPDX No one agrees more with you than JoAnn. I’m not talking about that. I’m talking about those that want her cancelled.,"@GregoryMcKelvey @PintSzPorcupine @JoAnnPDX People expect one who crosses the threshold to commence spitting fire, not understanding that having the fire  to your core is the vital requirement.",0,,,0.0,,,
959399799723196416,,"The things I see on here, God I hate men #CringeWorthy 😖",0,,,0.0,,,
1488624968174821376,"Women are scummm!
Fuck them!
Fuck girlsss!
Fuck women!!!!",@terrificprodig1 Normal 😂,1,explicit,Women,0.0,,,
