tweet_id,source_file,source_index,url,date,username,raw_content,word_count,reply_count,likes_count,retweet_count,quote_count,num_links,has_media,has_quoted_tweet,duplicate_sources
1364444425192005639,0_cleaned_data.json,0,https://x.com/Prabathkv96/status/1364444425192005639,2021-02-24 05:17:55+00:00,,You're cute but i don't like fat guys 😅,9,11,23,0,0,0,False,True,[]
1507475083954036739,0_cleaned_data.json,1,https://x.com/goodfoodgal/status/1507475083954036739,2022-03-25 21:50:42+00:00,,"You may have noticed I don’t like men infiltrating women’s sport…it is unfair, it belittles women &amp; it panders to a politically correct woke narrative that - once again - many are too afraid to speak out against. https://t.co/3RGBEylQTo",39,35,354,65,6,0,True,False,[]
959685036311064576,0_cleaned_data.json,2,https://x.com/gregorysaIcido/status/959685036311064576,2018-02-03 07:08:37+00:00,,You know what I hate Niggers.,6,47,3,1,7,0,False,False,['0_cleaned_data.json']
1336692051249913862,0_cleaned_data.json,4,https://x.com/DrJessTaylor/status/1336692051249913862,2020-12-09 15:19:54+00:00,,"You know something? I’m sick of women having to be everything to even have an opinion on something whilst men can have no experiences, no qualifications and no fuckin idea what they are talking about and they are still given a platform to talk utter bollocks with no references.",49,24,871,94,23,0,False,False,[]
1212183791768236032,0_cleaned_data.json,5,https://x.com/CeddyOrNot/status/1212183791768236032,2020-01-01 01:28:31+00:00,,"Yes, my mannerism is often over the top, I KNOW I have that ""gay voice"" too, I also know that because of this, many people are uncomfortable around me, I know because I've experienced this since I was younger.

If I could un-gay myself and stop receiving constant hate I would.",51,106,388,10,3,0,False,False,"['0_cleaned_data.json', '0_cleaned_data.json', '0_cleaned_data.json', '0_cleaned_data.json', '0_cleaned_data.json', '0_cleaned_data.json', '0_cleaned_data.json', '0_cleaned_data.json', '0_cleaned_data.json']"
1267969990386315265,0_cleaned_data.json,15,https://x.com/Wolferinoooooo/status/1267969990386315265,2020-06-03 00:02:58+00:00,,"Yes, I support #AllLivesMatter. Why? 

Because I'm sick of the mainstream media cherry-picking murder cases

I'm sick of white people being villainized

I'm sick of people tearing each other down for their own ego

Character comes first, not the color of your skin.",43,7,24,4,1,0,False,False,['0_cleaned_data.json']
1359038037267742720,0_cleaned_data.json,17,https://x.com/ApostateProphet/status/1359038037267742720,2021-02-09 07:14:52+00:00,,"Yes, I hate Islam! For those who ask why, here is why I, an Ex-Muslim, criticize Islam:

https://t.co/qs0uO3wLaI",18,24,134,22,1,1,False,False,"['0_cleaned_data.json', '0_cleaned_data.json', '0_cleaned_data.json']"
286301069351452672,0_cleaned_data.json,21,https://x.com/christinelu/status/286301069351452672,2013-01-02 02:41:08+00:00,,Yes you are. RT @YesYoureRacist: Yes you are. RT @hthomas31: im not racist but I fucking hate chinese people,19,1,1,2,0,0,False,False,[]
1414306130130620417,0_cleaned_data.json,22,https://x.com/flaviasaraiv4/status/1414306130130620417,2021-07-11 19:30:32+00:00,,yeah i bring up politics and race and imperialism all the fucking time but yall do the same? i don’t like american gymnasts in general (save for very few exceptions). you guys bring up race. i do too.,38,2,7,0,0,0,False,False,[]
1243374808030572544,0_cleaned_data.json,23,https://x.com/Jack27688344/status/1243374808030572544,2020-03-27 03:10:29+00:00,,"Yea,we could only stay at home now...
Fuck you China!🤬

#FuckChina
#WuhanCoronaVirus 
#BoycottChina https://t.co/47bbbJHeX6",14,68,484,158,15,0,True,False,"['0_cleaned_data.json', '0_cleaned_data.json', '0_cleaned_data.json']"
